States and UT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1 Andhra Pradesh,10.0,101.0,10.0,97.0,9.7,9.6,8.9,9.4,9.5,9.3
2 Assam,14.8,14.6,14.5,15.2,15.0,14.9,14.7,14.7,14.7,14.5
3 Bihar,21.0,21.1,21.0,19.7,20.1,20.8,20.6,20.3,20.2,20.0
4 Chhattisgarh,17.0,16.6,16.5,15.7,15.7,15.4,15.1,14.5,14.9,14.1
5 Delhi,13.2,13.1,13.1,12.9,12.8,11.5,11.5,11.4,11.2,10.6
6 Gujarat,14.6,14.4,14.3,14.5,14.3,14.0,13.7,13.8,13.9,13.7
7 Haryana,15.4,15.1,15.0,15.0,14.8,14.8,14.7,14.4,14.2,13.8
8 Jammu & Kashmir,12.3,12.2,12.1,11.7,11.3,10.8,10.5,10.5,10.3,10.0
9 Jharkhand,18.1,18.0,17.8,17.9,17.7,17.4,17.2,17.1,17.0,16.7
10 Karnataka,11.7,11.4,11.3,11.3,11.3,10.9,10.9,10.9,10.7,10.4
11 Kerala,8.2,8.0,7.8,8.2,8.2,6.8,7.3,7.1,6.4,6.2
12 Madhya Pradesh,18.7,18.6,18.4,17.9,17.9,17.9,18.0,17.9,17.9,17.6
13 Maharashtra,10.3,10.3,10.2,10.5,10.5,10.1,10.1,10.1,10.0,9.6
14 Odisha,11.6,11.4,11.3,11.5,11.6,10.8,10.9,10.9,10.8,10.4
15 Punjab,9.4,9.1,9.0,9.1,9.1,9.0,7.9,8.2,7.9,7.1
16 Rajasthan,19.6,19.3,19.1,18.6,18.5,18.2,18.1,18.1,18.0,17.9
17 Tamil Nadu,8.5,8.3,8.3,8.4,8.5,8.7,8.3,8.3,8.1,7.7
18 Telangana,,,,11.3,11.3,11.4,10.6,10.6,10.6,10.4
19 Uttar Pradesh,20.0,19.7,19.5,19.6,19.5,19.3,19.2,19.0,18.9,18.7
20 Uttarakhand,12.8,12.4,12.1,12.2,11.4,9.9,10.6,10.6,11.0,10.4
21 West Bengal,10.1,9.7,9.6,9.5,9.6,9.6,9.4,9.3,9.6,9.1
1 Arunachal Pradesh,14.0,13.6,13.4,12.6,12.7,12.7,12.1,11.9,11.8,11.6
2 Goa,6.6,6.5,6.4,6.4,6.3,6.1,6.4,6.4,6.4,6.2
3 Himachal Pradesh,9.8,9.5,9.4,9.7,9.7,9.2,9.2,8.8,8.5,8.5
4 Manipur,10.3,10.6,10.6,10.3,10.4,8.4,9.3,9.8,9.3,9.0
5 Meghalaya,16.3,16.5,16.4,16.6,16.3,17.1,16.7,16.3,17.7,17.6
6 Mizoram,12.2,11.9,11.8,12.1,12.0,11.3,11.0,10.7,10.5,10.2
7 Nagaland,12.8,12.4,12.3,12.2,11.8,9.5,9.9,9.5,9.2,8.8
8 Sikkim,12.0,11.9,11.8,12.0,12.0,11.9,11.9,11.8,12.3,11.6
9 Tripura,9.4,9.2,9.0,10.2,9.5,8.2,7.8,7.5,7.4,6.9
1 Andaman & Nicobar Islands,10.5,10.3,10.0,10.1,7.0,6.5,6.2,5.9,5.7,5.0
2 Chandigarh,11.0,10.8,10.7,10.3,9.3,9.4,9.1,9.0,9.1,9.1
3 Dadra & Nagar Haveli,21.4,21.1,21.1,21.4,21.5,20.5,19.3,19.1,18.2,16.5
4 Daman & Diu,13.5,13.3,13.0,12.7,12.4,19.5,15.4,15.1,14.5,
5 Ladakh,,,,,,,,,,9.3
6 Lakshadweep,8.3,8.4,8.5,7.9,8.5,12.9,8.5,9.7,9.2,9.1
7 Puducherry,8.9,8.7,8.7,8.0,7.0,6.7,5.9,6.8,6.5,6.6
