State/Union Territory & Year,1993-94,1999-00,2004-05,2009-10,2011-12,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Andhra Pradesh,30,39,36,31,43,66,73,67,60,63,65,59
Arunachal Pradesh,26,29,12,34,48,99,111,90,106,120,109,128
Assam,89,97,72,52,56,63,107,87,78,94,61,74
Bihar,71,74,64,73,56,90,105,86,96,103,77,73
Chhattisgarh,,,35,29,43,75,55,88,63,72,78,76
Delhi,15,33,48,26,35,98,108,89,63,53,17,20
Goa,101,185,87,41,46,138,91,84,109,116,87,82
Gujarat,33,20,24,18,8,43,32,30,46,28,22,23
Haryana,26,27,40,25,42,73,87,65,81,89,65,40
Himachal Pradesh,26,66,38,49,40,87,88,59,69,87,151,90
Jammu & Kashmir,66,50,49,60,70,100,101,132,133,129,102,114
Jharkhand,,,65,63,51,105,87,96,93,61,63,58
Karnataka,36,33,28,27,29,65,52,68,38,50,42,42
Kerala,103,102,156,73,61,132,97,104,116,103,76,67
Madhya Pradesh,50,35,28,29,26,77,74,70,47,49,48,28
Maharashtra,44,58,36,32,23,74,64,44,65,50,46,52
Manipur,42,67,55,48,71,114,92,102,99,77,53,75
Meghalaya,17,46,35,51,28,67,75,109,71,89,123,140
Mizoram,5,30,19,28,50,144,91,77,44,72,35,34
Nagaland,68,91,55,92,238,211,211,257,240,146,86,113
Odisha,65,67,134,42,35,83,127,77,78,105,62,68
Punjab,34,27,50,48,28,77,70,77,61,61,60,56
Rajasthan,14,25,29,22,31,72,95,90,102,108,85,77
Sikkim,31,75,37,,23,58,49,29,30,30,22,30
Tamil Nadu,50,40,35,32,27,72,67,58,58,57,51,41
Telangana,,,,,,94,112,103,77,69,78,73
Tripura,85,58,280,171,252,87,135,46,46,43,30,32
Uttarakhand,,,54,29,53,95,134,91,105,106,69,58
Uttar Pradesh,29,41,33,29,41,97,106,88,80,67,65,67
West Bengal,79,76,62,40,48,65,49,52,44,44,38,33
Andaman and Nicobar Islands,54,69,88,84,86,174,120,124,106,99,140,135
Chandigarh,72,48,40,34,64,92,82,61,77,63,40,71
Dadra & Nagar Haveli,,14,30,53,,1,18,50,34,47,14,23
Daman & Diu,58,30,30,24,5,26,0,28,,,,
Ladakh,,,,,,,,10,86,97,108,134
Lakshadweep,200,100,250,57,115,253,286,147,164,211,128,138
Puducherry,68,41,81,31,29,103,60,76,72,45,54,65
